order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8578302549,2025-07-22,106928166,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8552069561,2025-07-04,110664703,Kurtas,1,delivered,2025-07-22,2599.0,-1326.0,1102.0,118.07,0.0,0.0,-4.92,-0.984,-209.37966101694917,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,795.928,-37.68833898305085,both,settled,795.9279999999999,,
8579776795,2025-07-23,110664689,Kurtis,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8571452023,2025-07-17,107855549,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8578106009,2025-07-22,102957078,Ethnic Dresses,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8554209358,2025-07-05,78683142,Trousers,1,delivered,2025-07-25,1099.0,-704.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,278.431,-3.6288305084745764,both,settled,278.431,,
8587469384,2025-07-28,110665022,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8574592744,2025-07-19,110664814,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8562660659,2025-07-12,77637816,Kurtas,1,delivered,2025-07-29,799.0,-456.0,284.0,13.52,0.0,0.0,-1.353,-0.271,-17.039830508474576,0.0,-27.0,0.0,0.0,-4.86,ZONAL,230.409,-3.0671694915254237,both,settled,230.409,,
8578379967,2025-07-22,103849714,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8590207532,2025-07-30,106928954,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8564011265,2025-07-12,78683192,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
